weekday,time,lat,lon,d_i,death,injury
0,16,68,54,0,0,0
0,16,62,62,0,0,0
0,16,82,57,0,0,0
0,16,42,67,0,0,0
0,17,42,57,0,0,0
0,17,35,51,0,0,0
0,17,61,49,0,0,0
0,17,60,59,0,0,0
0,17,34,59,0,0,0
0,17,55,89,0,0,0
0,17,45,65,1,0,1
0,17,64,46,0,0,0
0,17,44,84,0,0,0
0,17,61,45,1,0,1
0,17,22,46,0,0,0
1,15,90,63,0,0,0
0,17,17,14,1,0,2
0,17,83,66,0,0,0
0,17,41,90,0,0,0
0,17,23,48,0,0,0
0,17,57,91,1,0,2
0,17,56,45,0,0,0
0,17,30,55,1,0,1
0,17,31,27,1,0,1
0,17,55,46,0,0,0
0,18,45,68,0,0,0
0,18,37,33,0,0,0
0,18,39,55,0,0,0
5,0,27,58,1,0,1
0,18,45,54,0,0,0
0,19,73,58,0,0,0
0,19,86,66,1,0,1
0,19,60,44,0,0,0
0,19,63,71,0,0,0
0,19,53,76,0,0,0
0,19,44,93,0,0,0
0,19,41,65,0,0,0
0,19,58,69,1,0,1
0,1,86,63,0,0,0
0,1,56,56,0,0,0
0,1,26,34,0,0,0
0,1,79,65,0,0,0
0,1,94,68,0,0,0
0,1,44,61,1,0,1
0,1,44,61,1,0,1
0,20,42,47,0,0,0
0,20,43,48,0,0,0
0,20,37,43,0,0,0
0,20,55,57,0,0,0
0,20,65,47,0,0,0
0,20,61,50,1,0,1
0,20,96,66,1,0,1
0,20,33,56,0,0,0
0,20,72,51,0,0,0
0,21,64,49,0,0,0
0,21,77,53,0,0,0
0,21,63,48,0,0,0
0,21,59,67,0,0,0
0,21,64,52,0,0,0
0,21,39,69,0,0,0
0,21,62,58,0,0,0
0,21,78,59,0,0,0
0,21,64,77,0,0,0
0,21,53,44,0,0,0
0,21,53,85,0,0,0
0,21,23,75,0,0,0
0,21,49,80,0,0,0
0,22,64,81,0,0,0
0,22,58,69,0,0,0
0,22,51,60,0,0,0
0,22,64,51,0,0,0
0,22,63,48,0,0,0
0,22,36,46,0,0,0
0,22,46,55,1,0,4
0,22,77,64,0,0,0
0,23,64,49,0,0,0
0,23,65,77,0,0,0
0,23,49,57,0,0,0
0,23,17,13,0,0,0
0,23,41,54,0,0,0
0,23,65,54,0,0,0
0,23,27,83,0,0,0
0,2,34,57,0,0,0
0,2,64,77,1,0,1
0,3,79,66,0,0,0
0,3,54,77,0,0,0
0,3,73,58,0,0,0
0,4,60,44,1,0,2
0,4,49,72,1,0,1
0,4,47,68,0,0,0
0,5,20,24,0,0,0
0,5,92,62,1,0,1
0,5,55,81,1,0,1
0,5,20,24,0,0,0
0,6,29,78,1,0,1
0,6,53,56,1,0,2
0,6,83,59,0,0,0
0,6,36,47,1,0,2
0,6,64,59,0,0,0
0,6,33,52,1,0,1
0,7,62,48,0,0,0
